datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,City,Temp_Range,Heat_Index,Severity_Score,Condition_Code,Month,Season,Day_of_Week,Is_Weekend,Health_Risk_Score
2024-09-07,1725692400.0,106.1,91.0,98.5,104.0,88.1,95.9,51.5,21.0,0.0,5.0,0.0,,0.0,0.0,26.3,13.7,107.3,1009.2,25.0,10.0,261.4,22.5,9.0,10.0,06:06:50,1725714410.0,18:44:53,1725759893.0,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KSDL', 'KDVT', 'AZM15', 'KPHX']",comb,Phoenix,15.100000000000000,95.91870311000000,4.43,,9.0,Fall,Saturday,TRUE,10.522170311000000
2024-09-08,1725778800.0,103.9,87.0,95.4,100.5,84.7,92.3,48.7,21.5,0.0,3.0,0.0,,0.0,0.0,20.8,12.8,101.5,1008.8,13.5,10.1,293.3,25.2,9.0,10.0,06:07:30,1725800850.0,18:43:32,1725846212.0,0.19,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,16.900000000000000,92.28131624140010,3.88,0.0,9.0,Fall,Sunday,TRUE,10.062331624140000
2024-09-09,1725865200.0,105.0,83.9,94.7,99.9,81.6,90.6,41.7,16.9,0.0,0.0,0.0,,0.0,0.0,18.3,10.3,90.8,1009.4,6.2,10.1,327.0,28.2,9.0,10.0,06:08:10,1725887290.0,18:42:10,1725932530.0,0.22,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,21.100000000000000,90.5991651058291,3.63,0.0,9.0,Fall,Monday,FALSE,9.67338651058291
2024-09-10,1725951600.0,106.1,81.2,93.9,100.6,79.5,89.8,39.1,15.7,0.012,0.0,4.17,['rain'],0.0,0.0,10.5,5.4,130.1,1006.8,4.9,12.5,276.8,24.0,9.0,10.0,06:08:49,1725973729.0,18:40:48,1726018848.0,0.25,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,24.90000000000000,89.6388106900291,2.8512000000000000,0.0,9.0,Fall,Tuesday,FALSE,9.411519469002910
2024-09-11,1726038000.0,106.1,82.1,94.0,101.0,80.0,90.0,40.1,15.9,0.008,0.0,4.17,['rain'],0.0,0.0,15.9,8.1,201.6,1001.8,5.7,15.0,274.9,23.7,9.0,10.0,06:09:29,1726060169.0,18:39:26,1726105166.0,0.29,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,24.0,89.76041382170000,3.3908,0.0,9.0,Fall,Wednesday,FALSE,9.515178582170000
2024-09-12,1726124400.0,103.0,81.6,91.5,98.1,79.9,87.9,41.6,18.4,0.0,0.0,0.0,,0.0,0.0,21.5,10.7,201.9,1000.8,4.0,15.0,272.7,23.6,9.0,10.0,06:10:09,1726146609.0,18:38:04,1726191484.0,0.32,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,21.40000000000000,87.60290690670000,3.95,0.0,9.0,Fall,Thursday,FALSE,9.487090690670000
2024-09-13,1726210800.0,101.2,77.6,89.3,96.9,77.6,86.4,42.6,20.4,0.0,0.0,0.0,,0.0,0.0,14.3,7.2,192.9,1006.3,7.2,15.0,269.5,23.1,9.0,10.0,06:10:49,1726233049.0,18:36:41,1726277801.0,0.36,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,23.60000000000000,85.71988263588410,3.2300000000000000,0.0,9.0,Fall,Friday,FALSE,9.23090826358841
2024-09-14,1726297200.0,99.4,78.2,89.1,96.1,78.2,86.8,48.4,25.3,0.004,6.0,4.17,['rain'],0.0,0.0,12.1,5.4,224.8,1008.7,9.6,15.0,262.5,22.6,9.0,10.0,06:11:29,1726319489.0,18:35:19,1726364119.0,0.39,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,21.200000000000000,86.11250590362910,3.0104,0.0,9.0,Fall,Saturday,TRUE,9.37288179036291
2024-09-15,1726383600.0,100.1,82.1,92.0,100.6,81.5,92.3,60.3,35.8,0.012,12.9,4.17,['rain'],0.0,0.0,19.0,11.6,254.3,1007.3,1.8,14.0,259.9,22.3,8.0,30.0,06:12:09,1726405929.0,18:33:56,1726450436.0,0.42,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,18.0,92.16758603040010,3.5012,0.0,9.0,Fall,Sunday,TRUE,10.470188203040000
2024-09-16,1726470000.0,99.6,86.1,92.2,99.7,87.4,93.0,62.2,37.8,0.0,12.9,0.0,,0.0,0.0,17.7,12.1,222.5,1006.8,12.2,15.0,245.3,21.3,8.0,30.0,06:12:49,1726492369.0,18:32:33,1726536753.0,0.46,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,13.5,93.20895235529600,3.37,0.0,9.0,Fall,Monday,FALSE,10.594755235529600
